strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/France/OCC-HCL021014418501/2021	2021-01-18	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1371844	LABO SUD OC-BIOLOGIE	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Montpellier
hCoV-19/France/OCC-HCL021014419501/2021	2021-01-19	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1336558	LABO SUD OC-BIOLOGIE	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Montpellier
hCoV-19/Switzerland/GEN2759/2021	2021-01-25	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1007641	HIB	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Switzerland/GE-33098951/2021	2021-01-27	20I/501Y.V1	Switzerland	Geneve	Geneve	EPI_ISL_953586	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center		Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis		
hCoV-19/England/LOND-128A740/2021	2021-01-22	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1265369	Barts Health NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Barts Health NHS Trust		KARAA, Esin; CUTINO-MOGUEL, Maria-Teresa; HARRINGTON, David; OWOYEMI, Dola; KULASEGARAN-SHYLINI, Raghavendran; BROAD, Claire; KELE, Beatrix		
hCoV-19/France/OCC-0001050/2021	2021-01-03	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1190805	BIOAXIOME SITE SAINT GILLES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Saint-Gilles
hCoV-19/France/OCC-0001054/2021	2021-01-03	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1190809	BIOAXIOME SITE SAINT GILLES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Saint-Gilles
hCoV-19/France/OCC-0001051/2021	2021-01-03	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1190806	BIOAXIOME SITE SAINT GILLES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Saint-Gilles
hCoV-19/France/OCC-0001053/2021	2021-01-03	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1190808	BIOAXIOME SITE SAINT GILLES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Saint-Gilles
hCoV-19/France/OCC-0001055/2021	2021-01-03	20I/501Y.V1	France	Occitanie	Occitanie	EPI_ISL_1190810	BIOAXIOME SITE SAINT GILLES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Saint-Gilles
hCoV-19/France/ARA-HCL021008738101/2021	2021-01-14	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1371801	LABORATOIRE NOVELAB	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Villefranche-sur-Saone
hCoV-19/Germany/BE-ChVir22896/2021	2021-01-18	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_912263	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie		Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten		
hCoV-19/Germany/BE-ChVir22890/2021	2021-01-19	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_912260	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie		Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten		
hCoV-19/Germany/BE-ChVir22892/2021	2021-01-21	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_912261	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie		Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten		
hCoV-19/Poland/AODPiGM-104134/2021	2021-01-26	20I/501Y.V1	Poland	Podlaskie	Podlaskie	EPI_ISL_1168289	Academic Center for Pathomorphological and Genetic-Molecular Diagnostics ltd, Bialystok, Poland	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Academic Center for Pathomorphological and Genetic-Molecular Diagnostics ltd, Bialystok, Poland		Radoslaw Charkiewicz, Przemysław Biecek, Jacek Nikliński, Joanna Reszeć		Sokółka
hCoV-19/England/LOND-12FA58D/2021	2021-01-15	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1386856	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer		
hCoV-19/England/LIVE-DDBC49/2021	2021-01-04	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1474659	Liverpool Clinical Laboratories	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Sam Haldenby, Alistair Darby,  Steve Paterson, Anita Lucaci, Julian Hiscox, M Almsaud, A Alrezaihi, Muhannad Alruwaili, Stuart D Armstrong, Jones Benjamin, Eleanor G Bentley, Anu Chawla, Jordan J Clark, Angela Cowell, Richard Eccles, Isabel García-Dorival, Matthew Gemmell, Alessandro Gerada, PKF Gilmore, Richard Gregory, Ximeng Han, Catherine Hartley, Margaret Hughes, Miren Iturriza-Gomara, James Johnson, L Luu, Jenifer Manson, Charlotte Nelson, Elaine O’Toole, Cassie Olateju, Rebekah Penrice-Randal , Lucille Rainbow, N.P Randle, Trevor Ian Robinson, Parul Sharma, Ghada T Shawli, James P Stewart, Neil Swainston, Ecaterina Vamos, Joanne Watts, Mark Whitehead, Hermione Webster		
hCoV-19/England/LOND-132C3A5/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637082	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli		
hCoV-19/Germany/NW-RKI-I-011016/2021	2021-01-15	20I/501Y.V1	Germany	North Rhine-Westphalia	North Rhine-Westphalia	EPI_ISL_1141144	Herz- und Diabeteszentrum NRW: Universitätsklinik der Ruhr-Universität Bochum --> Institut für Laboratoriums- und Transfusionsmedizin	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/England/210290849/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296539	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/Scotland/EDB16618/2021	2021-01-25	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1308819	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K		
hCoV-19/Poland/2142328883_gx1/2021	2021-01-29	20I/501Y.V1	Poland	Wielkopolskie	Wielkopolskie	EPI_ISL_1008739	genXone SA, Molecular Diagnostics Laboratory / NZOZ	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	genXone SA, Research & Development Laboratory		Maciej Sykulski, Grzegorz Nowicki, Jakub Grabowski, Natalia Drwęska-Matelska, Anna Brylak-Błaszków, Aleksandra Gidlewicz, Karol Szeszko, Łukasz Krych, Michał Kaszuba		Poznan
hCoV-19/Poland/2142412573_gx1/2021	2021-01-20	20I/501Y.V1	Poland	Wielkopolskie	Wielkopolskie	EPI_ISL_980808	genXone SA, Molecular Diagnostics Laboratory / NZOZ	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	genXone SA, Research & Development Laboratory		Maciej Sykulski, Grzegorz Nowicki, Jakub Grabowski, Natalia Drwęska-Matelska, Anna Brylak-Błaszków, Aleksandra Gidlewicz, Karol Szeszko, Łukasz Krych, Michał Kaszuba		Poznan
hCoV-19/Austria/CeMM2420/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853741	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM2427/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854178	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/England/OXON-F7233E/2021	2021-01-07	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309747	Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Tanya Golubchik, David Bonsall, George Macintyre, Amy Trebes, Mariateresa de Cesare, Catrin Moore, Alex Mobbs, Anita Justice, Robert Shaw, Monique Andersson, Timothy Peto, Emma Wise, Nathan Moore, Jessica Lynch, Nick Cortes, Matilde Mori, Stephen Kidd, David Buck, John Todd, Christophe Fraser		
hCoV-19/Switzerland/SO-ETHZ-450898/2021	2021-01-10	20I/501Y.V1	Switzerland	Solothurn	Solothurn	EPI_ISL_1130335	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/England/LOND-132C32D/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637076	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli		
hCoV-19/Italy/LAZ-INMI-178/2021	2021-01-13	20I/501Y.V1	Italy	Lazio	Lazio	EPI_ISL_941338	INMI Lazzaro Spallanzani IRCCS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	INMI Lazzaro Spallanzani IRCCS		Emanuela Giombini, Ornella Butera, Cesare E.M. Gruber, Martina Rueca, Barbara Bartolini, Francesco Messina, Giandomenico Russo,  Daniele Castiglia , Stefania Madonna,  Antonino Di Caro, Maria R. Capobianchi		
hCoV-19/England/NORW-22C43D/2021	2021-01-21	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1249000	Quadram Institute Bioscience	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker, Gemma L. Kay, Alp Aydin, Thanh Le-Viet, Steven Rudder, Ana P. Tedim, Anastasia Kolyva, Maria Diaz, Leonardo de Oliveira Martins, Nabil-Fareed Alikhan, Lizzie Meadows, Rachael Stanley, Ngozi Elumogo, Muhammed Yasir, Nicholas M. Thomson, Alexander J Trotter, Rachel Gilroy, Samuel Bloomfield, Claire Stuart, Andrew Bell, Reenesh Prakash, Samir Dervisevic, Alison E. Mather, John Wain, Mark Webber, Andrew J. Page, Justin O’Grady		
hCoV-19/Austria/CeMM3104/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934680	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM3116/2021	2021-01-14	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934691	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Poland/Pomorskie_MWB_135/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040959	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Poland/Pomorskie_MWB_142/2021	2021-01-15	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040966	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Poland/Pomorskie_MWB_26/2021	2021-01-13	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_930784	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Maciej Grzybek, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Poland/Pomorskie_MWB_102/2021	2021-01-26	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040930	Medical Laboratory Bruss	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Maciej Grzybek, Pawel Pisarek, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Poland/Pomorskie_MWB_86/2021	2021-01-26	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1041003	Medical Laboratory Bruss	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Maciej Grzybek, Pawel Pisarek, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Poland/2120845801_gx1/2021	2021-01-29	20I/501Y.V1	Poland	Wielkopolskie	Wielkopolskie	EPI_ISL_1008728	genXone SA, Molecular Diagnostics Laboratory / NZOZ	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	genXone SA, Research & Development Laboratory		Maciej Sykulski, Grzegorz Nowicki, Jakub Grabowski, Natalia Drwęska-Matelska, Anna Brylak-Błaszków, Aleksandra Gidlewicz, Karol Szeszko, Łukasz Krych, Michał Kaszuba		Poznan
hCoV-19/Poland/PL_P43/2021	2021-01-11	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1265431	1. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Katowicach (WSSE Katowice); 2. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Kielcach (WSSE Kielce); 3. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Szczecinie (WSSE Szczecin); 4. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Lublinie (WSSE Lublin); 5. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Gorzowie Wielkopolskim (WSSE Gorzów Wielkopolski); 6. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku (WSSE Gdańsk); 7. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Poznaniu (WSSE Poznań); 8. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Opolu (WSSE Opole); 9. Wojewódzka Stacja Sanitarno-Epidemiologiczna we Wrocławiu (WSSE Wrocław); 10. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie (WSSE Kraków); 11. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Olsztynie (WSSE Olsztyn); 12. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Bydgoszczy (WSSE Bydgoszcz); 13. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie (WSSE Rzeszów); 14. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku (WSSE Białystok);	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. Human Genome Variation Research Group, Malopolska Centre of Biotechnology, Jagiellonian University;		Klajmon,A., Mazur-Panasiuk,N., Szulc,P., Kowalski,M., Gromowski,T., Marszalek,K., Labaj,P.P., Branicki,W., Pyrc,K.		Gdańsk
hCoV-19/France/IDF-IPP00540/2021	2021-01-07	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_872214	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Fourgeaud Jacques		Paris
hCoV-19/France/CERBAHC-20211018-95/2021	2021-01-07	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_861715	CERBA	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CERBA LAB		Roquebert B; Costa JM; Hedbaut E; Trombert S; Lecorche E; Verdurme L; Malek Ramdane, Olivi M; Haïm-Boukobza S.		
hCoV-19/France/NO-CERBAHC-20211020-06/2021	2021-01-07	20I/501Y.V1	France	Normandie	Normandie	EPI_ISL_871789	Cerballiance Normandie	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CERBA LAB		LAFOREST D, BRIAND G, LEPIGEON, technicien V; COUDRAY J; MARTINS-AMARAL F; COULON C, THOMAS Johan, VITEL R, HAMEL A.		
hCoV-19/France/IDF-HCL021020688101/2021	2021-01-26	20I/501Y.V1	France	Ile-de-France	Ile-de-France	EPI_ISL_1359857	BIOMNIS PARIS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Ivry-sur-Seine
hCoV-19/France/IDF-HCL021020669101/2021	2021-01-26	20I/501Y.V1	France	Ile-de-France	Ile-de-France	EPI_ISL_1297288	BIOMNIS PARIS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Ivry-sur-Seine
hCoV-19/Switzerland/VD-GEN2545/2021	2021-01-07	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120876	CHUV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/France/NOR-IPP00113/2021	2021-01-05	20I/501Y.V1	France	Normandie	Normandie	EPI_ISL_846644	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf		Le Havre
hCoV-19/Switzerland/OW-UHB-351437/2021	2021-01-19	20I/501Y.V1	Switzerland	Obwalden	Obwalden	EPI_ISL_1388356	Bioanalytika AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology		Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Adrian Härri, Manuel Battegay, Hans Hirsch, Adrian Egli		Sarnen
hCoV-19/Germany/HB-RKI-I-012695/2021	2021-01-26	20I/501Y.V1	Germany	Bremen	Bremen	EPI_ISL_1142828	Sonic - MVZ Medizinisches Labor Bremen GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/England/NORW-22B8F6/2021	2021-01-24	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309667	Quadram Institute Bioscience	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker, Gemma L. Kay, Alp Aydin, Thanh Le-Viet, Steven Rudder, Ana P. Tedim, Anastasia Kolyva, Maria Diaz, Leonardo de Oliveira Martins, Nabil-Fareed Alikhan, Lizzie Meadows, Rachael Stanley, Ngozi Elumogo, Muhammed Yasir, Nicholas M. Thomson, Alexander J Trotter, Rachel Gilroy, Samuel Bloomfield, Claire Stuart, Andrew Bell, Reenesh Prakash, Samir Dervisevic, Alison E. Mather, John Wain, Mark Webber, Andrew J. Page, Justin O’Grady		
hCoV-19/Austria/CeMM2423/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853766	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM2418/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853746	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Scotland/QEUH-11A89DE/2021	2021-01-30	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1054073	University of Exeter	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Ben Temperton,Aaron Jeffries,Michelle Michelsen,Joanna Warwick-Dugdale,Audrey Farbos,Robyn Manley,Stephen Michell,Jane Masoli		
hCoV-19/Switzerland/VS-33023991/2021	2021-01-08	20I/501Y.V1	Switzerland	Valais	Valais	EPI_ISL_953521	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center		Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis		
